# ::id 26811002
# ::tok Genau das wird mein Geschenk sein ... es wird so sein wie mit dem Wasser ... " - " Was meinst du ? " - "
# ::alignments 0-1.1.3.1.1.1 1-1.1.3.1.1.2 3-1.1.3.1.3.1 4-1.1.3.1.3.2 5-1.1.3.1.4 9-1.1.3.2.3 10-1.1.3.2.4 11-1.1.3.2.5.1 12-1.1.3.2.5.2 14-1.1.3.2.5.4 19-1.2.3.1 20-1.2.3.2 21-1.2.3.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :P (v4 / label)
           :A (v5 / label)
           :A (v6 / label
                  :H (v10 / label
                          :A (v15 / label
                                  :E (v21 / label~e.0)
                                  :C (v22 / label~e.1))
                          :A (v16 / label
                                  :A (v23 / label~e.3)
                                  :P (v24 / label~e.4))
                          :S (v17 / label~e.5))
                  :H (v11 / label
                          :A (v18 / label~e.9)
                          :S (v19 / label~e.10)
                          :A (v20 / label
                                  :R (v25 / label~e.11)
                                  :R (v26 / label~e.12)
                                  :C (v27 / label~e.14)))))
    :H (v3 / label
           :P (v7 / label)
           :A (v8 / label)
           :A (v9 / label
                  :A (v12 / label~e.19)
                  :S (v13 / label~e.20)
                  :A (v14 / label~e.21))))
